id,Date,Time,ModuleCode,ModuleName,Location,Type
1,06/04/2020,12:10-13:00,CM2307,"Object Orientation, Algorithms and Data Structures",North/N/4.07,Lecture
1,06/04/2020,13:10-14:00,CM2102,Database Systems,Central/C/2.08,Tutorial
1,07/04/2020,9:00-9:50,CM2307,"Object Orientation, Algorithms and Data Structures",Central/C/2.08,Tutorial
1,07/04/2020,10:10-11:00,CM2104,Computational Mathematics,South/S/1.32,Lecture
1,08/04/2020,11:10-12:00,CM2102,Database Systems, North/N/4.07 ,Lecture
1,09/04/2020,9:00-9:50,CM2306,Communication Networks,T/2.07,Lecture
1,10/04/2020,10:00-12:00 ,CM2306,Communication Networks,Central/C/2.05/2.04,Tutorial
